2018-11-17 11:45:17 - PHP Notice:  Undefined index: config_name in /home/b/baycik/aruna.market/public_html/install/model/upgrade/1004.php on line 119
2018-11-17 11:45:57 - PHP Warning:  file(/home/b/baycik/aruna.market/public_html/admin/config.php): failed to open stream: No such file or directory in /home/b/baycik/aruna.market/public_html/install/model/upgrade/1009.php on line 94
2018-11-17 11:45:57 - PHP Warning:  Invalid argument supplied for foreach() in /home/b/baycik/aruna.market/public_html/install/model/upgrade/1009.php on line 96
2018-11-17 11:45:57 - PHP Warning:  Invalid argument supplied for foreach() in /home/b/baycik/aruna.market/public_html/install/model/upgrade/1009.php on line 107
2018-11-17 13:09:56 - PHP Warning:  rmdir(/home/b/baycik/aruna.market/storage/cache/so): Directory not empty in /home/b/baycik/aruna.market/public_html/admin/controller/common/developer.php on line 70
2018-11-17 13:40:46 - PHP Warning:  rmdir(/home/b/baycik/aruna.market/storage/cache/so): Directory not empty in /home/b/baycik/aruna.market/public_html/admin/controller/common/developer.php on line 70
2018-11-17 15:08:00 - PHP Warning:  A non-numeric value encountered in /home/b/baycik/aruna.market/public_html/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4627
2018-11-17 15:08:03 - PHP Warning:  A non-numeric value encountered in /home/b/baycik/aruna.market/public_html/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4627
2018-11-17 15:45:34 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/model/extension/module/so_filter_shop_by.php on line 110
2018-11-17 18:32:47 - PHP Warning:  A non-numeric value encountered in /home/b/baycik/aruna.market/public_html/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4627
2018-11-17 18:32:50 - PHP Warning:  A non-numeric value encountered in /home/b/baycik/aruna.market/public_html/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4627
2018-11-17 18:47:07 - PHP Warning:  fsockopen(): unable to connect to smtp.beget.com:25 (Connection timed out) in /home/b/baycik/aruna.market/public_html/system/library/mail/smtp.php on line 87
2018-11-17 19:48:24 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-17 19:48:36 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-17 19:49:22 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:31:51 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:33:44 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:20 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:53 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:54 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:54 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:54 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:54 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:59 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:35:59 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:36:00 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:36:01 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:36:02 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 3:59:22 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 4:36:14 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 4:36:15 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 10:51:07 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
2018-11-18 13:43:15 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/b/baycik/aruna.market/public_html/catalog/controller/extension/module/so_latest_blog.php on line 196
